epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3061,0.71089,2.22496,0.97664,1,0.46307,0.9886,0.78497,0.73617,2.99581,0.89604,0.00054,0.00054,0.00054
2,192.361,0.69048,1.34607,0.92841,1,0.12566,0.64531,0.49229,0.78171,3.31933,0.95844,0.00108911,0.00108911,0.00108911
3,288.759,0.77265,1.23178,0.95997,0.64497,0.32727,0.45967,0.35957,0.768,2.78092,1.04772,0.00162713,0.00162713,0.00162713
4,383.21,0.73525,1.18013,0.97452,0.77833,0.43636,0.63333,0.43267,0.90492,2.42303,1.06114,0.0019406,0.0019406,0.0019406
5,476.692,0.70224,0.96748,0.94268,0.99394,0.94545,0.99191,0.80791,0.66295,1.1096,0.94369,0.0019208,0.0019208,0.0019208
6,570.594,0.73056,0.88765,0.93202,0.97783,1,0.99482,0.83676,0.62444,1.15435,0.94663,0.001901,0.001901,0.001901
7,663.047,0.74447,0.81054,0.947,0.96294,0.98182,0.99303,0.83015,0.65311,1.02504,0.96502,0.0018812,0.0018812,0.0018812
8,756.887,0.67729,0.75511,0.94677,1,0.9997,0.995,0.84207,0.59877,0.86543,0.93945,0.0018614,0.0018614,0.0018614
9,851.398,0.64649,0.70396,0.92649,0.92914,0.98182,0.98968,0.84355,0.57043,1.1356,0.91532,0.0018416,0.0018416,0.0018416
10,945.804,0.63623,0.65753,0.91668,0.76085,0.96364,0.91913,0.76229,0.602,1.36492,0.90396,0.0018218,0.0018218,0.0018218
11,1039.41,0.61569,0.63751,0.94166,0.94214,0.98182,0.98606,0.80734,0.60665,1.14138,0.92395,0.001802,0.001802,0.001802
12,1132.94,0.63081,0.61028,0.92594,0.96414,1,0.98309,0.85692,0.56235,0.58279,0.90492,0.0017822,0.0017822,0.0017822
13,1226.83,0.65616,0.58489,0.92502,0.99782,1,0.995,0.87951,0.52522,0.53927,0.89647,0.0017624,0.0017624,0.0017624
